attack,n_attack,percentile,tau,APCER,BPCER,ACER,EER
Artifact,2347,94,0.20213460922241205,0.035790370685982106,0.06599102583939347,0.050890698262687786,0.0533588132795637
CL,9144,38,0.0500133037567138,0.1111111111111111,0.7021507040074269,0.406630907559269,0.40985097517885305
E-display,7915,74,0.10229009389877314,0.15957043588123815,0.28972613337459385,0.224648284627916,0.21784907313891044
Fake with Add On,106,91,0.1723928600549698,0.02830188679245283,0.10057248955593377,0.0644371881741933,0.06527942803593167
Generated,7964,50,0.06332516670227051,0.1245605223505776,0.5645984836763113,0.3445795030134444,0.37541866023595427
PostMortem,5489,90,0.16447857022285461,0.04445254144652942,0.11186755376760019,0.0781600476070648,0.08281102314062246
Print and E-display,7400,79,0.11512389779090874,0.19608108108108108,0.2330187219557481,0.21454990151841458,0.21573096963588995
Printed,10247,74,0.10229009389877314,0.1777105494291012,0.28972613337459385,0.23371834140184752,0.2341649233905514
ALL,50612,72,0.0977672338485717,0.24656208013909744,0.31076899272783537,0.2786655364334664,0.2784867683426131
