attack,n_attack,percentile,tau,APCER,BPCER,ACER,EER
Artifact,2347,18,0.323489,0.0,0.8292588581154263,0.41462942905771316,0.5083128135041055
CL,9144,21,0.405499,0.024496937882764653,0.7973077518180411,0.4109023448504029,0.4522245563243168
E-display,7915,5,0.090502,0.011876184459886292,0.9569085563979576,0.4843923704289219,0.7527226853006213
Fake with Add On,106,37,0.59598375,0.11320754716981132,0.6295837846201454,0.37139566589497836,0.3682033286720636
Generated,7964,23,0.4466,0.027122049221496736,0.777812161534891,0.40246710537819386,0.4499176357044733
PostMortem,5489,56,0.7119710000000002,0.05993805793404992,0.42766517097323226,0.2438016144536411,0.26853531236442196
Print and E-display,7400,9,0.141993,0.01445945945945946,0.9192325545412348,0.4668460070003471,0.6371828725677557
Printed,10247,92,0.867634,0.8310725090270323,0.07365000773634535,0.45236125838168884,0.4766704530239854
ALL,50612,10,0.159172,0.031751363313048286,0.9110320284697508,0.47139169589139956,0.5062129890652112
