attack,n_attack,percentile,tau,APCER,BPCER,ACER,EER
Artifact,2347,92,0.214704155921936,0.033233915636983385,0.07983908401671051,0.05653649982684695,0.0623006374788124
CL,9144,39,0.06860485672950739,0.14391951006124235,0.6698127804425189,0.40686614525188064,0.41577290895654906
E-display,7915,77,0.13902220129966736,0.2965255843335439,0.2362679870029398,0.2663967856682419,0.26734789186788416
Fake with Add On,106,91,0.2081291079521179,0.0660377358490566,0.08796224663468977,0.07699999124187318,0.07552789609358351
Generated,7964,40,0.0699126720428466,0.12569060773480664,0.6582856258703389,0.3919881168025728,0.42347053501549176
PostMortem,5489,88,0.1848353147506714,0.08198214611040262,0.12207952963020269,0.10203083787030265,0.10582940598821036
Print and E-display,7400,70,0.12158894538879388,0.2227027027027027,0.3109237196348445,0.2668132111687736,0.2669845607637654
Printed,10247,73,0.12870956957340238,0.26339416414560357,0.2778895249883955,0.2706418445669995,0.2706517160138091
ALL,50612,75,0.13329221308231348,0.35799810321662845,0.2589354788797772,0.30846679104820285,0.3097750316262018
