attack,n_attack,percentile,tau,APCER,BPCER,ACER,EER
Artifact,2347,92,0.1832175254821777,0.013208351086493396,0.08711124864613956,0.05015979986631648,0.05184907224177533
CL,9144,39,0.0516023784875869,0.11821959755030621,0.6931765434008974,0.4056980704756018,0.40947610423639025
E-display,7915,79,0.11637936532497399,0.2032849020846494,0.23232245087420703,0.21780367647942822,0.21954829321951114
Fake with Add On,106,91,0.1753757894039154,0.02830188679245283,0.0985610397648151,0.06343146327863397,0.07548921436683123
Generated,7964,50,0.06367421150207515,0.11828227021597187,0.5672288410954665,0.34275555565571914,0.3790573945123472
PostMortem,5489,89,0.16306319832801816,0.04427035889961742,0.11797926659446077,0.08112481274703909,0.08498470503805636
Print and E-display,7400,80,0.1197302341461181,0.20945945945945946,0.22071793284852237,0.2150886961539909,0.21528638068673656
Printed,10247,72,0.0996297597885131,0.1601444325168342,0.30581773170354326,0.23298108211018873,0.23352098796429416
ALL,50612,69,0.09265935420989985,0.2187623488500751,0.3444220950023209,0.281592221926198,0.27728332580405685
