attack,n_attack,percentile,tau,APCER,BPCER,ACER,EER
Artifact,2347,93,0.19091443717479703,0.018747337025990626,0.07542936716695033,0.04708835209647048,0.052952366725052394
CL,9144,42,0.0541901588439941,0.1534339457567804,0.6560420857187065,0.40473801573774343,0.4087772019175307
E-display,7915,78,0.11347445845603935,0.19898926089703095,0.2412966114807365,0.22014293618888373,0.22085317472147448
Fake with Add On,106,93,0.19091443717479703,0.04716981132075472,0.07542936716695033,0.06129958924385252,0.06442843004738147
Generated,7964,49,0.062251269817352226,0.11828227021597187,0.5778276342255918,0.34805495222078187,0.3769305018179829
PostMortem,5489,90,0.16717392206192017,0.05283293860448169,0.10970137706947237,0.08126715783697704,0.08379429586248299
Print and E-display,7400,78,0.11347445845603935,0.18891891891891893,0.2412966114807365,0.21510776519982772,0.2182236828349315
Printed,10247,75,0.1069939732551574,0.2016199863374646,0.26698127804425187,0.23430063219085823,0.23953132877103123
ALL,50612,63,0.08169110119342797,0.1722713980874101,0.4094847593996596,0.2908780787435349,0.2778346130168532
