Model,Attack_Type,APCER,BPCER,ACER,EER,AUC,Threshold,Accuracy,N_bonafide,N_attack
BBDM_LBBDM-f4,Artifact,0.04503956177723676,0.3400897416060653,0.19256465169165105,0.20106761565836298,0.8815864056543973,0.21994803153030623,0.6931841581440044,12926,1643
BBDM_LBBDM-f4,CL,0.16925761421319796,0.5218164938882872,0.3455370540507426,0.39331579761720564,0.6534447525783237,0.16790337639080508,0.5937597503900156,12926,6304
BBDM_LBBDM-f4,E-display,0.23746844572664982,0.4901748414049203,0.36382164356578506,0.3983444220950023,0.6496349103406955,0.1753100796460031,0.5856972715461238,12926,5546
BBDM_LBBDM-f4,Fake with Add On,0.23880597014925373,0.30411573572644285,0.2714608529378483,0.23510753520037134,0.8472995536013265,0.23314548699973936,0.6962210420995921,12926,67
BBDM_LBBDM-f4,Generated,0.10807553234230614,0.40979421321367787,0.258934872777992,0.33714993037289187,0.7201443196731254,0.1961403921380773,0.6740951742627346,12926,4978
BBDM_LBBDM-f4,PostMortem,0.03461888855147282,0.09887049357883336,0.06674469106515309,0.07055546959616277,0.9803027196930609,0.311433345661149,0.9141747333374437,12926,3293
BBDM_LBBDM-f4,Print and E-display,0.11119691119691119,0.47176233947083396,0.29147962533387256,0.3418691010366703,0.7232478447258734,0.1796130016595274,0.6313929084281453,12926,5180
BBDM_LBBDM-f4,Printed,0.15019341069761238,0.42271390994894015,0.28645366032327624,0.2999381092371963,0.8042100433963879,0.19202457171481646,0.6773245850266856,12926,7497
BBDM_LBBDM-f4,,0.1306653529616321,0.47307751818041155,0.3018714355710218,0.3376914745474238,0.7481166186939123,0.17925011248022937,0.7760256356200194,12926,34508
