attack,n_attack,APCER,BPCER,ACER,EER
Artifact,2347,0.9510012782275244,0.10513693331270307,0.5280691057701138,0.49000366611133306
CL,9144,0.9140419947506562,0.10513693331270307,0.5095894640316796,0.5407718429247095
E-display,7915,0.8358812381554012,0.10513693331270307,0.47050908573405215,0.3469698352906173
Fake with Add On,106,0.8962264150943396,0.10513693331270307,0.5006816742035214,0.39616364851885477
Generated,7964,0.9703666499246609,0.10513693331270307,0.537751791618682,0.6089153569991155
PostMortem,5489,0.7939515394425214,0.10513693331270307,0.4495442363776122,0.3983526461021293
Print and E-display,7400,0.8575675675675676,0.10513693331270307,0.4813522504401353,0.3807390927985079
Printed,10247,0.6889821411144725,0.10513693331270307,0.3970595372135878,0.37490092502591227
OverAll,50612,0.8455109460207065,0.10513693331270307,0.47532393966670483,0.44086669128095846
