attack,n_attack,APCER,BPCER,ACER,EER
Artifact,2347,0.766084363016617,0.09887049357883336,0.4324774282977252,0.4262129168817208
CL,9144,0.9181977252843394,0.09887049357883336,0.5085341094315864,0.4626479364534021
E-display,7915,0.15944409349336702,0.09887049357883336,0.1291572935361002,0.12297981444304813
Fake with Add On,106,1.0,0.09887049357883336,0.5494352467894167,0.6344657104738438
Generated,7964,0.9173782019085887,0.09887049357883336,0.508124347743711,0.4916400453751615
PostMortem,5489,0.9974494443432319,0.09887049357883336,0.5481599689610326,0.6711941388015648
Print and E-display,7400,0.6968918918918919,0.09887049357883336,0.39788119273536265,0.30040434949881023
Printed,10247,0.9611593637162096,0.09887049357883336,0.5300149286475214,0.5770320144874033
OverAll,50612,0.7774638425669802,0.09887049357883336,0.4381671680729068,0.4522211293293528
