attack,n_attack,APCER,BPCER,ACER,EER
Artifact,2347,0.9906263314870047,0.09554386507813709,0.5430850982825709,0.5999538126667872
CL,9144,0.9833770778652668,0.09554386507813709,0.539460471471702,0.5647661890979394
E-display,7915,0.8795957043588124,0.09554386507813709,0.48756978471847473,0.4119789512760767
Fake with Add On,106,0.9905660377358491,0.09554386507813709,0.5430549514069931,0.6818011963601225
Generated,7964,0.9893269713711703,0.09554386507813709,0.5424354182246537,0.60634958893234
PostMortem,5489,0.9338677354709419,0.09554386507813709,0.5147058002745395,0.46868679336082036
Print and E-display,7400,0.8443243243243244,0.09554386507813709,0.4699340947012307,0.4005064797119571
Printed,10247,0.9177320191275495,0.09554386507813709,0.5066379421028433,0.5254004141945834
OverAll,50612,0.9294436102110172,0.09554386507813709,0.5124937376445772,0.5096719281478228
