Model,Attack_Type,APCER,BPCER,ACER,Threshold,Accuracy
AnoDDPM_DDIM_ViT_50steps,Artifact,0.0,0.8263,0.4132,0.3326,0.2669
AnoDDPM_DDIM_ViT_50steps,CL,0.0236,0.7967,0.4102,0.4074,0.4567
AnoDDPM_DDIM_ViT_50steps,E-display,0.2276,0.2737,0.2506,-0.5167,0.7401
AnoDDPM_DDIM_ViT_50steps,Fake with Add On,0.1194,0.6283,0.3738,0.5968,0.3744
AnoDDPM_DDIM_ViT_50steps,Generated,0.0245,0.777,0.4008,0.4468,0.4322
AnoDDPM_DDIM_ViT_50steps,PostMortem,0.0556,0.4237,0.2396,0.7139,0.651
AnoDDPM_DDIM_ViT_50steps,Print and E-display,0.2118,0.5236,0.3677,-0.6874,0.5656
AnoDDPM_DDIM_ViT_50steps,Printed,0.8366,0.0765,0.4566,0.8663,0.6445
AnoDDPM_DDIM_ViT_50steps,,0.0247,0.9165,0.4706,0.1461,0.7323
