attack,n_attack,tau,APCER,BPCER,ACER,EER
Artifact,2347,0.8585715,0.9816787388155092,0.09206250967043168,0.5368706242429704,0.5083128135041055
CL,9144,0.8585715,0.8769685039370079,0.09206250967043168,0.4845155068037198,0.4522245563243168
E-display,7915,0.8585715,0.986481364497789,0.09206250967043168,0.5392719370841104,0.7527226853006213
Fake with Add On,106,0.8585715,0.7830188679245284,0.09206250967043168,0.43754068879748004,0.3682033286720636
Generated,7964,0.8585715,0.8868658965344048,0.09206250967043168,0.4894642031024183,0.4499176357044733
PostMortem,5489,0.8585715,0.7720896338130807,0.09206250967043168,0.4320760717417562,0.26853531236442196
Print and E-display,7400,0.8585715,0.9893243243243244,0.09206250967043168,0.540693416997378,0.6371828725677557
Printed,10247,0.8585715,0.8076510198106763,0.09206250967043168,0.449856764740554,0.4766704530239854
ALL,50612,0.8585715,0.8913301193392871,0.09206250967043168,0.4916963145048594,0.5062129890652112
