attack,n_attack,tau,APCER,BPCER,ACER,EER
Artifact,2347,0.16447857022285461,0.0097997443544951,0.11186755376760019,0.06083364906104764,0.0533588132795637
CL,9144,0.16447857022285461,0.8232720909886264,0.11186755376760019,0.4675698223781133,0.40985097517885305
E-display,7915,0.16447857022285461,0.39481996209728365,0.11186755376760019,0.2533437579324419,0.21784907313891044
Fake with Add On,106,0.16447857022285461,0.02830188679245283,0.11186755376760019,0.0700847202800265,0.06527942803593167
Generated,7964,0.16447857022285461,0.8273480662983426,0.11186755376760019,0.46960781003297136,0.37541866023595427
PostMortem,5489,0.16447857022285461,0.04445254144652942,0.11186755376760019,0.0781600476070648,0.08281102314062246
Print and E-display,7400,0.16447857022285461,0.39635135135135136,0.11186755376760019,0.25410945255947576,0.21573096963588995
Printed,10247,0.16447857022285461,0.4666731726358934,0.11186755376760019,0.2892703632017468,0.2341649233905514
ALL,50612,0.16447857022285461,0.4984391053505098,0.11186755376760019,0.305153329559055,0.2784867683426131
