attack,current,zak_p90,zak_p95,zak_p97,zak_p99
Artifact,0.17031564289029863,0.055737990371522564,0.04355950897609116,0.07151676818716851,0.17183265875352643
CL,0.39453835862633924,0.4585223280940865,0.4817322600103204,0.496301599852656,0.5018807148815082
E-display,0.2307195375891807,0.25335751250467375,0.3069450396969651,0.35799829303803127,0.42317027899777804
Fake with Add On,0.17031564289029863,0.07569147916613744,0.09489897718586396,0.09821983229450766,0.20868733848935733
Generated,0.3934976436938342,0.47716842549116156,0.49067172054020514,0.4960418911444923,0.49986253922333307
PostMortem,0.17153034073420995,0.08458188894536157,0.11291548438566817,0.1682711850055954,0.2663809536205039
Print and E-display,0.2213774189520747,0.24712581328703873,0.3058236011701894,0.36091792484334645,0.4292025231836465
Printed,0.23507487991844322,0.291398657559883,0.3545321837023014,0.4003506348642918,0.45364004594049695
ALL,0.2750304916210277,0.30459297550962,0.34408173212566595,0.380567512001917,0.42879269152019245
