attack,display,apcer_cur,bpcer_cur,acer_cur,apcer_zak,bpcer_zak,acer_zak,delta
Artifact,Artifact,0.0,0.34063128578059726,0.17031564289029863,0.004869141813755326,0.10660683892928981,0.055737990371522564,-0.11457765251877607
CL,Contact Lens,0.4484454314720812,0.34063128578059726,0.39453835862633924,0.8104378172588832,0.10660683892928981,0.4585223280940865,0.06398396946774726
E-display,E-display,0.12080778939776415,0.34063128578059726,0.2307195375891807,0.4001081860800577,0.10660683892928981,0.25335751250467375,0.022637974915493048
Fake with Add On,Fake+AddOn,0.0,0.34063128578059726,0.17031564289029863,0.04477611940298507,0.10660683892928981,0.07569147916613744,-0.09462416372416119
Generated,Generated,0.4463640016070711,0.34063128578059726,0.3934976436938342,0.8477300120530333,0.10660683892928981,0.47716842549116156,0.08367078179732734
PostMortem,Post-Mortem,0.0024293956878226543,0.34063128578059726,0.17153034073420995,0.06255693896143334,0.10660683892928981,0.08458188894536157,-0.08694845178884837
Print and E-display,Print+E-disp,0.10212355212355212,0.34063128578059726,0.2213774189520747,0.38764478764478766,0.10660683892928981,0.24712581328703873,0.025748394334964037
Printed,Printed,0.1295184740562892,0.34063128578059726,0.23507487991844322,0.47619047619047616,0.10660683892928981,0.291398657559883,0.056323777641439754
ALL,ALL,0.2094296974614582,0.34063128578059726,0.2750304916210277,0.5025791120899502,0.10660683892928981,0.30459297550962,0.029562483888592284
