attack,n_attack,tau,APCER,BPCER,ACER,EER
Artifact,2347,0.20074772834777826,0.018747337025990626,0.09678168033421011,0.05776450868010037,0.06212628128481479
CL,9144,0.20074772834777826,0.8570647419072616,0.09678168033421011,0.4769232111207358,0.4161702511733457
E-display,7915,0.20074772834777826,0.532406822488945,0.09678168033421011,0.31459425141157754,0.2676108738512407
Fake with Add On,106,0.20074772834777826,0.0660377358490566,0.09678168033421011,0.08140970809163336,0.07552789609358351
Generated,7964,0.20074772834777826,0.8815921647413361,0.09678168033421011,0.4891869225377731,0.423180120926344
PostMortem,5489,0.20074772834777826,0.11805429039897977,0.09678168033421011,0.10741798536659494,0.10560603998144405
Print and E-display,7400,0.20074772834777826,0.5363513513513514,0.09678168033421011,0.3165665158427807,0.2669169931961979
Printed,10247,0.20074772834777826,0.5641651214989754,0.09678168033421011,0.3304734009165927,0.2708236377354329
ALL,50612,0.20074772834777826,0.5832806449063463,0.09678168033421011,0.3400311626202782,0.3097445597925336
