attack,n_attack,tau,APCER,BPCER,ACER,EER
Artifact,2347,0.16998490691184995,0.008947592671495527,0.10660683892928981,0.05777721580039267,0.05202342843577294
CL,9144,0.16998490691184995,0.8372703412073491,0.10660683892928981,0.47193859006831945,0.40946010529822563
E-display,7915,0.16998490691184995,0.4107391029690461,0.10660683892928981,0.25867297094916797,0.2191241821734859
Fake with Add On,106,0.16998490691184995,0.02830188679245283,0.10660683892928981,0.06745436286087132,0.07548921436683123
Generated,7964,0.16998490691184995,0.8386489201406329,0.10660683892928981,0.4726278795349613,0.3790035295764252
PostMortem,5489,0.16998490691184995,0.057751867371105846,0.10660683892928981,0.08217935315019782,0.08508952413146381
Print and E-display,7400,0.16998490691184995,0.40513513513513516,0.10660683892928981,0.2558709870322125,0.21530547064161484
Printed,10247,0.16998490691184995,0.48189714062652483,0.10660683892928981,0.29425198977790734,0.23374953743872473
ALL,50612,0.16998490691184995,0.5110052951869122,0.10660683892928981,0.308806067058101,0.27722405132369643
