attack,n_attack,tau,APCER,BPCER,ACER,EER
Artifact,2347,0.16717392206192017,0.008521516829995739,0.10970137706947237,0.05911144694973405,0.052952366725052394
CL,9144,0.16717392206192017,0.8313648293963255,0.10970137706947237,0.47053310323289893,0.4087998847061184
E-display,7915,0.16717392206192017,0.40480101073910296,0.10970137706947237,0.2572511939042877,0.2206764654509869
Fake with Add On,106,0.16717392206192017,0.02830188679245283,0.10970137706947237,0.0690016319309626,0.06442843004738147
Generated,7964,0.16717392206192017,0.8292315419387243,0.10970137706947237,0.4694664595040983,0.3769064010233891
PostMortem,5489,0.16717392206192017,0.05283293860448169,0.10970137706947237,0.08126715783697704,0.08374188631577927
Print and E-display,7400,0.16717392206192017,0.40513513513513516,0.10970137706947237,0.2574182561023038,0.2182236828349315
Printed,10247,0.16717392206192017,0.4816043720113204,0.10970137706947237,0.2956528745403964,0.23948253400183048
ALL,50612,0.16717392206192017,0.5069153560420454,0.10970137706947237,0.3083083665557589,0.2775746906449309
