attack,n_attack,tau,APCER,BPCER,ACER,EER
Artifact,2347,0.16447857022285461,0.0097997443544951,0.11186755376760019,0.06083364906104764,0.0533588132795637
CL,9144,0.16447857022285461,0.8232720909886264,0.11186755376760019,0.4675698223781133,0.40983497624068843
E-display,7915,0.16447857022285461,0.39481996209728365,0.11186755376760019,0.2533437579324419,0.21805918113594572
Fake with Add On,106,0.16447857022285461,0.02830188679245283,0.11186755376760019,0.0700847202800265,0.06535679148943624
Generated,7964,0.16447857022285461,0.8273480662983426,0.11186755376760019,0.46960781003297136,0.37565400483515754
PostMortem,5489,0.16447857022285461,0.04445254144652942,0.11186755376760019,0.0781600476070648,0.08275861359391873
Print and E-display,7400,0.16447857022285461,0.39635135135135136,0.11186755376760019,0.25410945255947576,0.21574026370483124
Printed,10247,0.16447857022285461,0.4666731726358934,0.11186755376760019,0.2892703632017468,0.23427439641444286
ALL,50612,0.16447857022285461,0.4984391053505098,0.11186755376760019,0.305153329559055,0.278457131102433
