attack,display,A_current_acer,A_tau,B_zak_global_acer,B_tau,C_zak_per_atk_full_acer,C_tau,D_zak_per_atk_partial_acer,D_tau,D_chosen_percentile
Artifact,Artifact,0.04468328023679715,0.1979058538752236,0.055737990371522564,0.16998490691184995,0.055737990371522564,0.16998490691184995,0.04751180204674598,0.1832175254821777,92
CL,Contact Lens,0.398100255967,0.05157145662508104,0.4585223280940865,0.16998490691184995,0.4585223280940865,0.16998490691184995,0.3843441159792053,0.06367421150207515,50
E-display,E-display,0.21327225145058568,0.1159144707653986,0.25335751250467375,0.16998490691184995,0.25335751250467375,0.16998490691184995,0.21385698301279346,0.1197302341461181,80
Fake with Add On,Fake W/AO,0.06985053842654282,0.1777136549167241,0.07569147916613744,0.16998490691184995,0.07569147916613744,0.16998490691184995,0.07569147916613744,0.16998490691184995,90
Generated,Generated,0.34583348848502965,0.0638020828463185,0.47716842549116156,0.16998490691184995,0.47716842549116156,0.16998490691184995,0.3458884261724821,0.06367421150207515,50
PostMortem,PostMortem,0.08448272370477768,0.1617986525876215,0.08458188894536157,0.16998490691184995,0.08458188894536157,0.16998490691184995,0.08698107224289972,0.1832175254821777,92
Print and E-display,Print & ED,0.20982710014893213,0.11714970394633537,0.24712581328703873,0.16998490691184995,0.24712581328703873,0.16998490691184995,0.20949024055553533,0.1197302341461181,80
Printed,Printed,0.23018513197222773,0.10037963017038604,0.291398657559883,0.16998490691184995,0.291398657559883,0.16998490691184995,0.23349564179687038,0.09534791111946099,70
