method,threshold,tp,tn,fp,fn,apcer,bpcer,acer,eer,eer_threshold,auc,accuracy,precision,recall,f1,tdr_at_fdr_0001,tdr_at_fdr_001,tdr_at_fdr_005
mse_score,0.027411458357861893,9762,10801,2125,24746,0.7171090761562536,0.16439733869719944,0.4407532074267265,0.4381197629125361,0.0174929201602935,0.6160722792119944,0.4335076105746933,0.8212332800538403,0.28289092384374637,0.4208212091820239,0.021936942158340095,0.03268807233105367,0.09383331401414165
lpips_score,0.19225302727909777,28022,7469,5457,6486,0.1879564159035586,0.42217236577440814,0.3050643908389834,0.33770513219662834,0.2208477556705474,0.7481166186939123,0.7482185773917444,0.8370022999492219,0.8120435840964414,0.8243340638651507,0.07108496580503072,0.12347861365480468,0.20818360959777443
recon_score,0.2017897448770038,29107,7087,5839,5401,0.1565144314361887,0.4517252050131518,0.30411981822467027,0.3392032364198623,0.2391865700483322,0.7407800499086195,0.7630391702154573,0.8329136381846277,0.8434855685638113,0.838166268321479,0.0839805262547815,0.12113133186507477,0.1935783006838994
trajectory_score,0.011959253554850037,3226,11520,1406,31282,0.9065144314361887,0.1087730156274176,0.5076437235318032,0.5374422524908888,0.0056243659928441,0.4456783839552053,0.31087405658388495,0.6964594127806563,0.0934855685638113,0.16484414920797139,0.0,0.00188362118928944,0.019560681581082647
combined_score,0.6216216216216216,5190,10448,2478,29318,0.8496000927321201,0.19170663778431069,0.5206533652582154,0.5045522702447567,0.3922228813171386,0.4969627917031297,0.3296791331112704,0.6768388106416275,0.1503999072678799,0.24611153262518967,0.0009044731939147374,0.008172018082763417,0.033557435956879565
