attack_type,n_samples,apcer,detection_rate,mean_score,std_score,min_score,max_score,median_score,score_separation,difficulty_rank
E-display,5546,0.35070320952037504,0.649296790479625,0.2400858830358313,0.11403583437017632,0.0739981085062027,1.1734142303466797,0.2152125090360641,0.5425896619626593,1
CL,6304,0.32725253807106597,0.672747461928934,0.22649342889441318,0.06328150353791578,0.0577797554433345,0.6961424946784973,0.21768410503864283,0.48029973027830675,2
Print and E-display,5180,0.17316602316602317,0.8268339768339769,0.25050874169354964,0.06452594227352924,0.0990020930767059,0.6026194095611572,0.2440117448568344,0.7468791313367136,3
Printed,7497,0.15152727757769774,0.8484727224223023,0.3456524529891744,0.17316534467782912,0.0961784720420837,1.0582441091537476,0.2928957343101501,1.2405118434107378,4
Fake with Add On,67,0.13432835820895522,0.8656716417910448,0.33679004925400463,0.11342346631403886,0.1529842615127563,0.6042467355728149,0.3209404945373535,1.5926645799637118,5
Generated,4978,0.08517476898352752,0.9148252310164725,0.24384806549431762,0.046461092577387925,0.145350307226181,0.6063162088394165,0.2363861426711082,0.6946523539335561,6
Artifact,1643,0.007303712720632989,0.992696287279367,0.33039236176652437,0.07794527063315908,0.1751873791217804,0.5861257910728455,0.3184720873832702,1.556107333359808,7
PostMortem,3293,0.0,1.0,0.480862355996076,0.10729422316967811,0.2112003415822982,0.8026801943778992,0.4839395880699157,3.026840674541114,8
