attack_type,display_name,n_samples,apcer,detection_rate,mean_score,std_score,min_score,max_score,median_score
Artifact,Artifact,1643,0.007303712720632989,0.992696287279367,0.33039236176652437,0.07792154661171984,0.1751873791217804,0.5861257910728455,0.3184720873832702
CL,Contact Lens,6304,0.32725253807106597,0.672747461928934,0.22649342889441318,0.06327648418406788,0.0577797554433345,0.6961424946784973,0.21768410503864283
E-display,E-display,5546,0.35070320952037504,0.649296790479625,0.2400858830358313,0.11402555299844104,0.0739981085062027,1.1734142303466797,0.2152125090360641
Fake with Add On,Fake with Add On,67,0.13432835820895522,0.8656716417910448,0.33679004925400463,0.11257384037113356,0.1529842615127563,0.6042467355728149,0.3209404945373535
Generated,Generated,4978,0.08517476898352752,0.9148252310164725,0.24384806549431762,0.046456425700516384,0.145350307226181,0.6063162088394165,0.2363861426711082
PostMortem,Post-Mortem,3293,0.0,1.0,0.480862355996076,0.107277930674987,0.2112003415822982,0.8026801943778992,0.4839395880699157
Print and E-display,Print & E-display,5180,0.17316602316602317,0.8268339768339769,0.25050874169354964,0.06451971360009674,0.0990020930767059,0.6026194095611572,0.2440117448568344
Printed,Printed,7497,0.15152727757769774,0.8484727224223023,0.3456524529891744,0.17315379531678132,0.0961784720420837,1.0582441091537476,0.2928957343101501
